STATION,STATION_NAME,CITY_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,Date_Year,Date_Month,Cooling degree days,Heating degree days,Number days with maximum temperature greater than or equal 90.0 F,Number days with maximum temperature less than or equal to 32.0 F,Number days with minimum temperature less than or equal to 0.0 F,Number days with minimum temperature less than or equal to 32.0 F,Number of days with greater than or equal to 0.1 inch of precipitation,Number of days with greater than or equal to 0.5 inch of precipitation,Number of days with greater than or equal to 1.0 inch of precipitation,Extreme maximum daily precipitation,Maximum snow depth,Number days with snow depth > 1 inc,Total precipitation,Total snow fall,Extreme maximum daily temperature,Extreme minimum daily temperature,Monthly Mean maximum temperature,Monthly Mean minimum temperature,Monthly mean temperature
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200801,2008,01,0,895,0,2,0,21,4,2,0,63,0,0,174,10,65,15,431,286,359
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200802,2008,02,0,810,0,4,0,21,6,2,2,141,2,2,393,37,68,11,454,283,369
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200803,2008,03,0,617,0,0,0,10,6,3,1,151,0,0,367,0,68,28,539,357,448
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200804,2008,04,9,261,0,0,0,1,7,1,0,88,0,0,219,0,87,31,658,468,563
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200805,2008,05,37,149,0,0,0,0,7,4,1,157,0,0,455,0,84,42,709,514,612
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200806,2008,06,347,0,8,0,0,0,4,1,1,196,0,0,287,0,98,56,860,667,764
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200807,2008,07,452,0,11,0,0,0,7,1,1,166,0,0,345,0,96,65,881,704,793
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200808,2008,08,310,0,1,0,0,0,2,2,1,173,0,0,244,0,90,58,836,656,746
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200809,2008,09,180,12,3,0,0,0,7,2,1,219,0,0,431,0,93,53,785,622,704
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200810,2008,10,19,274,0,0,0,0,3,1,0,63,0,0,159,0,81,36,655,476,566
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200811,2008,11,0,576,0,0,0,9,8,3,1,116,0,0,402,10,72,23,520,391,456
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200812,2008,12,0,809,0,3,0,19,8,3,1,272,0,0,557,4,66,15,466,308,387
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200901,2009,01,0,1107,0,11,0,30,3,2,1,147,2,1,270,41,53,6,355,226,291
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200902,2009,02,0,774,0,2,0,21,2,1,0,51,8,4,84,84,69,15,460,281,371
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200903,2009,03,0,653,0,2,0,10,6,0,0,39,6,4,162,90,74,13,523,350,437
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200904,2009,04,42,320,3,0,0,0,9,3,0,75,0,0,399,0,93,34,655,456,556
COOP:366889,PHILADELPHIA INTERNATIONAL AIRPORT PA US,"Philadelphia, PA",3,39.86833,-75.23111,200905,2009,05,86,79,0,0,0,0,8,5,0,97,0,0,484,0,87,44,741,559,650
